P16104 Q08945
Q9UPY8 Q15555
P17181 P29597
P62330 Q99418
Q9NZ42 Q92542
Q16570 P10145
Q9UBU7 O00311
Q15599 P15311
Q9UBU8 Q92993
P13500 P32246
Q9NR28 Q9NR09
Q7L576 Q8IZP0
Q9UQE7 Q8N3U4
P55199 Q96JC9
P61244 P50539
Q9H0K1 Q53ET0
Q13569 P55854
Q13616 P41002
Q13617 P40337
P15311 P32004
P15313 P36543
Q16623 Q01959
Q8WXE1 Q13535
Q06455 O75081
Q96T88 P26358
P21127 P30281
P29353 Q9UQC2
P29350 Q9UKJ1
P06756 P26012
Q969Q1 Q9BYV2
P18507 O95166
Q96H20 P55199
Q7Z6Z7 Q07820
Q7Z4G1 Q8N668
P11831 Q9ULH7
Q12874 Q15459
Q8N3I7 Q3SYG4
Q9UJA5 Q96FX7
Q07812 Q16611
Q07817 Q9C000
P52435 Q00403
Q96AY2 Q96NY9
Q92900 O95793
Q9P2K3 O60341
P46778 P61313
Q9NRL3 Q9Y6E0
Q9UK53 O75446
O75478 P24928
Q96LA8 P17096
P05455 P19338
Q15942 Q8N8S7
Q9Y3U8 Q02543
Q13291 Q92835
P23468 Q13332
Q9NPP4 Q9HC29
P62750 Q9UKD2
P10721 P07948
O43516 O00401
Q9UHB7 P42568
P53675 O00291
Q13472 Q9H9A7
Q9UBT6 Q9UBZ9
Q13519 P41146
P49643 P09884
P14598 P05771
Q96A65 O60645
Q96PU5 O00141
P06401 Q8WYK2
P41743 Q6P1M3
Q15435 P36873
Q16633 Q8IUQ4
P50570 Q15811
Q9H0F6 Q96EP0
P57740 P55735
Q9Y3C6 Q13573
P50591 O00220
P06748 P49450
Q15542 O75486
Q15543 Q16594
Q96EB1 O95163
Q96EB6 Q01094
Q9UQF2 Q16584
P23921 P31350
Q9UBF6 Q96Q27
Q9P299 Q9Y678
Q04206 Q8WTS6
O15111 Q9Y6Q9
O15116 Q9Y4Z0
Q9H2F5 Q9NXR8
Q13868 Q9NQT5
P09619 P19174
Q15131 P15036
Q9BTM9 Q7Z7A3
Q15139 Q07021
O60506 Q9NR22
Q13535 O14757
P43243 P61978
P28676 P30626
P15498 O15524
Q9NTI5 Q8WVM7
P08581 Q12913
Q92806 P48051
Q13283 Q14694
Q13045 Q32MZ4
Q13042 Q9UM13
Q8WYA6 Q9P013
Q8WYA1 O15516
P60510 Q9NY27
Q9NRM7 Q9H8S9
P01375 Q13546
P01374 Q06643
P52907 P47756
O43504 Q0VGL1
Q8IZP0 Q96F07
O14867 O15525
O14862 Q9ULZ3
P15153 Q13153
P24941 Q96PU4
Q5SXM2 Q13487
Q13263 Q9UBF1
Q99417 Q8TBZ2
P54259 O00308
O14662 O75379
Q02790 Q92990
Q6SA08 P16220
P22626 P14866
Q08881 O43561
P40199 P31997
O15444 P51686
P54136 Q13155
P54132 P40692
Q9Y5L4 O60220
Q06787 Q9UHK0
P17096 P17676
Q15428 O43719
Q96MX6 Q9H6T3
